dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/regulator-u4.5-c0.5-r220-d0.98-t2.5-n500-b10,19000,4188.8085,347.9627,3840.8458,4727.9550,635.0525,4092.9025,0.0000,0.0000,0.0000,0.1287,0.8251,0.0656,0.1863,28.0652,33.2925,0.7984,0.8013
/home/tobipull/regulator-u4.5-c0.5-r220-d0.98-t2.5-n1000-b10,19000,4188.8085,347.9627,3840.8458,5128.1130,790.2101,4337.9029,0.0000,0.0000,0.0000,0.2242,1.2710,0.1294,0.6447,28.0652,46.1577,0.6774,0.6411
/home/tobipull/regulator-u4.5-c0.5-r220-d0.98-t2.5-n1500-b10,19000,4188.8085,347.9627,3840.8458,5507.5198,935.6518,4571.8680,0.0000,0.0000,0.0000,0.3148,1.6889,0.1903,1.0754,28.0652,58.2462,0.6032,0.5108
/home/tobipull/regulator-u4.5-c0.5-r220-d0.98-t2.5-n2000-b10,19000,4188.8085,347.9627,3840.8458,5851.4859,1054.4767,4797.0092,0.0000,0.0000,0.0000,0.3969,2.0304,0.2489,1.3800,28.0652,66.7948,0.5595,0.4213
/home/tobipull/regulator-u4.5-c0.5-r220-d0.98-t2.5-n2500-b10,19000,4188.8085,347.9627,3840.8458,6169.9775,1154.6550,5015.3225,0.0000,0.0000,0.0000,0.4730,2.3183,0.3058,1.6263,28.0652,73.7086,0.5142,0.3671
/home/tobipull/regulator-u4.5-c0.5-r220-d0.98-t2.5-n3000-b10,19000,4188.8085,347.9627,3840.8458,6472.0688,1244.8702,5227.1986,0.0000,0.0000,0.0000,0.5451,2.5776,0.3609,1.8432,28.0652,79.7938,0.4868,0.3353
/home/tobipull/regulator-u4.5-c0.5-r220-d0.98-t2.5-n3500-b10,19000,4188.8085,347.9627,3840.8458,6759.6597,1326.2152,5433.4446,0.0000,0.0000,0.0000,0.6137,2.8114,0.4146,2.0326,28.0652,85.1092,0.4595,0.2974
/home/tobipull/regulator-u4.5-c0.5-r220-d0.98-t2.5-n4000-b10,19000,4188.8085,347.9627,3840.8458,7038.2492,1403.8526,5634.3966,0.0000,0.0000,0.0000,0.6803,3.0345,0.4670,2.2116,28.0652,90.1337,0.4384,0.2521
/home/tobipull/regulator-u4.5-c0.5-r220-d0.98-t2.5-n4500-b10,19000,4188.8085,347.9627,3840.8458,7305.6581,1475.0378,5830.6202,0.0000,0.0000,0.0000,0.7441,3.2391,0.5181,2.3694,28.0652,94.5634,0.4108,0.2155
/home/tobipull/regulator-u4.5-c0.5-r220-d0.98-t2.5-n5000-b10,19000,4188.8085,347.9627,3840.8458,7567.3722,1544.5339,6022.8383,0.0000,0.0000,0.0000,0.8066,3.4388,0.5681,2.5175,28.0652,98.7196,0.4018,0.1866
