dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/regulator-u4.5-c1.0-r200-d0.94-t3.55-n2000-b10,19000,4188.8085,347.9627,3840.8458,5822.7973,1071.1032,4751.6942,0.0000,0.0000,0.0000,0.3901,2.0782,0.2371,9.2868,28.0652,288.7023,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r277-d0.94-t3.55-n2000-b10,19000,4188.8085,347.9627,3840.8458,5801.6887,1006.4186,4795.2702,0.0000,0.0000,0.0000,0.3850,1.8923,0.2485,3.2967,28.0652,120.5868,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r300-d0.94-t3.55-n2000-b10,19000,4188.8085,347.9627,3840.8458,5792.0177,991.0945,4800.9232,0.0000,0.0000,0.0000,0.3827,1.8483,0.2500,2.5137,28.0652,98.6117,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r400-d0.94-t3.55-n2000-b10,19000,4188.8085,347.9627,3840.8458,5757.9636,936.8633,4821.1003,0.0000,0.0000,0.0000,0.3746,1.6924,0.2552,0.7389,28.0652,48.8035,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r600-d0.94-t3.55-n2000-b10,19000,4188.8085,347.9627,3840.8458,5708.1047,874.7800,4833.3247,0.0000,0.0000,0.0000,0.3627,1.5140,0.2584,0.1637,28.0652,32.6599,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r800-d0.94-t3.55-n2000-b10,19000,4188.8085,347.9627,3840.8458,5679.6855,843.4467,4836.2388,0.0000,0.0000,0.0000,0.3559,1.4240,0.2592,0.1105,28.0652,31.1661,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r1000-d0.94-t3.55-n2000-b10,19000,4188.8085,347.9627,3840.8458,5667.7569,830.7108,4837.0462,0.0000,0.0000,0.0000,0.3531,1.3874,0.2594,0.0924,28.0652,30.6578,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r1200-d0.94-t3.55-n2000-b10,19000,4188.8085,347.9627,3840.8458,5663.4543,825.9650,4837.4893,0.0000,0.0000,0.0000,0.3520,1.3737,0.2595,0.0850,28.0652,30.4495,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r200-d0.94-t3.55-n3000-b10,19000,4188.8085,347.9627,3840.8458,6388.7499,1265.6542,5123.0957,0.0000,0.0000,0.0000,0.5252,2.6373,0.3338,12.1470,28.0652,368.9738,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r277-d0.94-t3.55-n3000-b10,19000,4188.8085,347.9627,3840.8458,6422.2329,1206.5027,5215.7302,0.0000,0.0000,0.0000,0.5332,2.4673,0.3580,4.5688,28.0652,156.2897,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r300-d0.94-t3.55-n3000-b10,19000,4188.8085,347.9627,3840.8458,6422.9895,1193.8952,5229.0944,0.0000,0.0000,0.0000,0.5334,2.4311,0.3614,3.5802,28.0652,128.5456,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r400-d0.94-t3.55-n3000-b10,19000,4188.8085,347.9627,3840.8458,6424.9817,1148.2204,5276.7613,0.0000,0.0000,0.0000,0.5338,2.2998,0.3739,1.1887,28.0652,61.4266,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r600-d0.94-t3.55-n3000-b10,19000,4188.8085,347.9627,3840.8458,6393.4376,1080.3491,5313.0885,0.0000,0.0000,0.0000,0.5263,2.1048,0.3833,0.2360,28.0652,34.6874,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r800-d0.94-t3.55-n3000-b10,19000,4188.8085,347.9627,3840.8458,6357.5035,1031.3654,5326.1382,0.0000,0.0000,0.0000,0.5177,1.9640,0.3867,0.1482,28.0652,32.2247,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r1000-d0.94-t3.55-n3000-b10,19000,4188.8085,347.9627,3840.8458,6331.6913,1000.2614,5331.4299,0.0000,0.0000,0.0000,0.5116,1.8746,0.3881,0.1156,28.0652,31.3083,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r1200-d0.94-t3.55-n3000-b10,19000,4188.8085,347.9627,3840.8458,6317.2011,983.2887,5333.9124,0.0000,0.0000,0.0000,0.5081,1.8258,0.3887,0.1004,28.0652,30.8838,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r200-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6657.5773,1353.2243,5304.3530,0.0000,0.0000,0.0000,0.5894,2.8890,0.3810,13.2315,28.0652,399.4101,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6736.4506,1306.1291,5430.3215,0.0000,0.0000,0.0000,0.6082,2.7536,0.4138,5.1670,28.0652,173.0790,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r300-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6740.2624,1290.8331,5449.4294,0.0000,0.0000,0.0000,0.6091,2.7097,0.4188,3.9846,28.0652,139.8940,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r400-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6764.0079,1249.6406,5514.3674,0.0000,0.0000,0.0000,0.6148,2.5913,0.4357,1.3865,28.0652,66.9778,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r600-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6758.8142,1189.6788,5569.1354,0.0000,0.0000,0.0000,0.6135,2.4190,0.4500,0.2709,28.0652,35.6668,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r800-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6727.4052,1136.9949,5590.4103,0.0000,0.0000,0.0000,0.6060,2.2676,0.4555,0.1667,28.0652,32.7445,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r1000-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6700.3808,1100.0995,5600.2813,0.0000,0.0000,0.0000,0.5996,2.1615,0.4581,0.1274,28.0652,31.6421,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r1200-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6679.7995,1074.2312,5605.5683,0.0000,0.0000,0.0000,0.5947,2.0872,0.4595,0.1090,28.0652,31.1230,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r200-d0.94-t3.55-n4000-b10,19000,4188.8085,347.9627,3840.8458,6859.1350,1418.0320,5441.1030,0.0000,0.0000,0.0000,0.6375,3.0752,0.4166,13.9641,28.0652,419.9702,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r277-d0.94-t3.55-n4000-b10,19000,4188.8085,347.9627,3840.8458,6973.8900,1377.5716,5596.3184,0.0000,0.0000,0.0000,0.6649,2.9590,0.4571,5.5002,28.0652,182.4286,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r300-d0.94-t3.55-n4000-b10,19000,4188.8085,347.9627,3840.8458,6986.3247,1364.8759,5621.4488,0.0000,0.0000,0.0000,0.6679,2.9225,0.4636,4.2802,28.0652,148.1900,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r400-d0.94-t3.55-n4000-b10,19000,4188.8085,347.9627,3840.8458,7029.3756,1326.7575,5702.6181,0.0000,0.0000,0.0000,0.6781,2.8129,0.4847,1.4735,28.0652,69.4194,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r600-d0.94-t3.55-n4000-b10,19000,4188.8085,347.9627,3840.8458,7047.7058,1273.6085,5774.0973,0.0000,0.0000,0.0000,0.6825,2.6602,0.5033,0.2936,28.0652,36.3054,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r800-d0.94-t3.55-n4000-b10,19000,4188.8085,347.9627,3840.8458,7026.1423,1222.6805,5803.4617,0.0000,0.0000,0.0000,0.6774,2.5138,0.5110,0.1812,28.0652,33.1517,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r1000-d0.94-t3.55-n4000-b10,19000,4188.8085,347.9627,3840.8458,7000.4581,1182.4186,5818.0395,0.0000,0.0000,0.0000,0.6712,2.3981,0.5148,0.1368,28.0652,31.9054,-1.0000,-1.0000
