dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/regulator-u4.5-c1.0-r600-d0.94-t3.55-n2000-b10,19000,4188.8085,347.9627,3840.8458,5708.1047,874.7800,4833.3247,0.0000,0.0000,0.0000,0.3627,1.5140,0.2584,0.1637,28.0652,32.6599,0.7237,0.6132
/home/tobipull/regulator-u4.5-c1.0-r600-d0.94-t3.55-n3000-b10,19000,4188.8085,347.9627,3840.8458,6393.4376,1080.3491,5313.0885,0.0000,0.0000,0.0000,0.5263,2.1048,0.3833,0.2360,28.0652,34.6874,0.6526,0.4679
/home/tobipull/regulator-u4.5-c1.0-r600-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6758.8142,1189.6788,5569.1354,0.0000,0.0000,0.0000,0.6135,2.4190,0.4500,0.2709,28.0652,35.6668,0.6303,0.4039
/home/tobipull/regulator-u4.5-c1.0-r600-d0.94-t3.55-n4000-b10,19000,4188.8085,347.9627,3840.8458,7047.7058,1273.6085,5774.0973,0.0000,0.0000,0.0000,0.6825,2.6602,0.5033,0.2936,28.0652,36.3054,0.6018,0.3726
/home/tobipull/regulator-u4.5-c1.0-r600-d0.94-t3.55-n5000-b10,19000,4188.8085,347.9627,3840.8458,7658.7195,1445.3264,6213.3931,0.0000,0.0000,0.0000,0.8284,3.1537,0.6177,0.3373,28.0652,37.5311,0.5232,0.2808
/home/tobipull/regulator-u4.5-c1.0-r600-d0.94-t3.55-n6000-b10,19000,4188.8085,347.9627,3840.8458,8233.7122,1603.0964,6630.6158,0.0000,0.0000,0.0000,0.9656,3.6071,0.7263,0.3726,28.0652,38.5225,0.5189,0.2058
