dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/regulator-u4.5-c0.5-r600-d0.98-t2.5-n5000-b10,19000,4188.8085,347.9627,3840.8458,7667.6684,1452.3724,6215.2961,0.0000,0.0000,0.0000,0.8305,3.1739,0.6182,0.2783,28.0652,35.8747,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r700-d0.98-t2.5-n5000-b10,19000,4188.8085,347.9627,3840.8458,7675.4462,1432.5911,6242.8552,0.0000,0.0000,0.0000,0.8324,3.1171,0.6254,0.2094,28.0652,33.9414,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r600-d0.98-t2.5-n6000-b10,19000,4188.8085,347.9627,3840.8458,8249.2340,1609.7671,6639.4669,0.0000,0.0000,0.0000,0.9694,3.6263,0.7286,0.3103,28.0652,36.7748,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r700-d0.98-t2.5-n6000-b10,19000,4188.8085,347.9627,3840.8458,8275.3423,1596.7967,6678.5456,0.0000,0.0000,0.0000,0.9756,3.5890,0.7388,0.2373,28.0652,34.7240,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r600-d0.98-t2.5-n5000-b10,19000,4188.8085,347.9627,3840.8458,7660.8487,1444.2714,6216.5773,0.0000,0.0000,0.0000,0.8289,3.1507,0.6185,0.3196,28.0652,37.0357,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r700-d0.98-t2.5-n5000-b10,19000,4188.8085,347.9627,3840.8458,7667.9815,1424.2253,6243.7562,0.0000,0.0000,0.0000,0.8306,3.0930,0.6256,0.2532,28.0652,35.1701,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r600-d0.98-t2.5-n6000-b10,19000,4188.8085,347.9627,3840.8458,8242.8982,1601.8139,6641.0843,0.0000,0.0000,0.0000,0.9678,3.6034,0.7291,0.3492,28.0652,37.8643,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r700-d0.98-t2.5-n6000-b10,19000,4188.8085,347.9627,3840.8458,8268.7277,1588.9396,6679.7882,0.0000,0.0000,0.0000,0.9740,3.5664,0.7391,0.2786,28.0652,35.8832,-1.0000,-1.0000
