def-flavor,def-scale,Accuracy-mean,Accuracy-std,Cost (bandwidth+delay)-mean,Cost (bandwidth+delay)-std
default,0.25,0.9134210348129272,,0.4738922020026224,
default,0.5,0.8771052360534668,,0.9882268286134135,
default,0.75,0.784649133682251,,1.6611822571665555,
default,0.8,0.7799999713897705,,1.8361083607011557,
default,0.95,0.6742982268333435,,2.8479547151413995,
default,0.99,0.6357017755508423,,3.5556913942781505,
default,1.0,0.6045613884925842,,3.8337874155191636,
undefended,0,0.9713158011436462,,-3.3506530883187224e-13,
