dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/regulator-u3.5-c0.5-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,7131.0842,1722.3726,5408.7115,0.0000,0.0000,0.0000,0.7024,3.9499,0.4082,5.8087,28.0652,191.0866,-1.0000,-1.0000
/home/tobipull/regulator-u3.5-c1.0-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,7125.2327,1716.2196,5409.0131,0.0000,0.0000,0.0000,0.7010,3.9322,0.4083,5.7993,28.0652,190.8247,-1.0000,-1.0000
/home/tobipull/regulator-u3.5-c1.5-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,7120.4479,1710.9715,5409.4764,0.0000,0.0000,0.0000,0.6999,3.9171,0.4084,5.8221,28.0652,191.4635,-1.0000,-1.0000
/home/tobipull/regulator-u3.5-c1.77-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,7118.5340,1708.9944,5409.5396,0.0000,0.0000,0.0000,0.6994,3.9114,0.4084,5.8484,28.0652,192.2019,-1.0000,-1.0000
/home/tobipull/regulator-u3.5-c2.0-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,7116.8082,1707.2838,5409.5244,0.0000,0.0000,0.0000,0.6990,3.9065,0.4084,5.8690,28.0652,192.7799,-1.0000,-1.0000
/home/tobipull/regulator-u3.95-c0.5-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6918.8874,1501.5540,5417.3334,0.0000,0.0000,0.0000,0.6518,3.3153,0.4105,5.3890,28.0652,179.3100,-1.0000,-1.0000
/home/tobipull/regulator-u3.95-c1.0-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6910.7069,1492.0657,5418.6413,0.0000,0.0000,0.0000,0.6498,3.2880,0.4108,5.3472,28.0652,178.1355,-1.0000,-1.0000
/home/tobipull/regulator-u3.95-c1.5-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6905.6719,1486.0991,5419.5728,0.0000,0.0000,0.0000,0.6486,3.2709,0.4110,5.3786,28.0652,179.0165,-1.0000,-1.0000
/home/tobipull/regulator-u3.95-c1.77-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6903.5733,1483.9365,5419.6367,0.0000,0.0000,0.0000,0.6481,3.2646,0.4111,5.3979,28.0652,179.5598,-1.0000,-1.0000
/home/tobipull/regulator-u3.95-c2.0-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6901.9894,1482.2246,5419.7648,0.0000,0.0000,0.0000,0.6477,3.2597,0.4111,5.4219,28.0652,180.2315,-1.0000,-1.0000
/home/tobipull/regulator-u4.0-c0.5-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6900.4479,1481.9358,5418.5121,0.0000,0.0000,0.0000,0.6474,3.2589,0.4108,5.4631,28.0652,181.3887,-1.0000,-1.0000
/home/tobipull/regulator-u4.0-c1.0-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6891.7805,1472.0532,5419.7273,0.0000,0.0000,0.0000,0.6453,3.2305,0.4111,5.4086,28.0652,179.8589,-1.0000,-1.0000
/home/tobipull/regulator-u4.0-c1.5-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6887.6109,1466.0030,5421.6079,0.0000,0.0000,0.0000,0.6443,3.2131,0.4116,5.4322,28.0652,180.5221,-1.0000,-1.0000
/home/tobipull/regulator-u4.0-c1.77-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6885.5719,1463.5529,5422.0190,0.0000,0.0000,0.0000,0.6438,3.2061,0.4117,5.4471,28.0652,180.9399,-1.0000,-1.0000
/home/tobipull/regulator-u4.0-c2.0-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6883.7817,1461.8051,5421.9766,0.0000,0.0000,0.0000,0.6434,3.2010,0.4117,5.4743,28.0652,181.7018,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c0.5-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6743.9788,1319.0508,5424.9280,0.0000,0.0000,0.0000,0.6100,2.7908,0.4124,5.1888,28.0652,173.6910,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.0-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6736.4506,1306.1291,5430.3215,0.0000,0.0000,0.0000,0.6082,2.7536,0.4138,5.1670,28.0652,173.0790,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.5-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6730.5684,1298.2508,5432.3176,0.0000,0.0000,0.0000,0.6068,2.7310,0.4144,5.2022,28.0652,174.0671,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c1.77-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6728.1328,1295.4117,5432.7211,0.0000,0.0000,0.0000,0.6062,2.7228,0.4145,5.2317,28.0652,174.8927,-1.0000,-1.0000
/home/tobipull/regulator-u4.5-c2.0-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6726.3249,1293.0106,5433.3144,0.0000,0.0000,0.0000,0.6058,2.7159,0.4146,5.2527,28.0652,175.4837,-1.0000,-1.0000
