dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
start/limit-1,20000,30.0000,12.2117,17.7884,629.0544,308.2244,320.8301,0.0000,0.0000,0.0000,19.9685,24.2402,17.0360,1.2401,18.2226,40.8213,0.8095,0.7163
start/limit-0.75,20000,30.0000,12.2117,17.7884,432.6375,209.2344,223.4031,0.0000,0.0000,0.0000,13.4212,16.1340,11.5590,0.6556,18.2226,30.1689,0.8670,0.7235
start/limit-0.5,20000,30.0000,12.2117,17.7884,262.4567,125.3769,137.0799,0.0000,0.0000,0.0000,7.7486,9.2670,6.7062,0.2816,18.2226,23.3549,0.9012,0.7698
end/limit-1,20000,30.0000,12.2117,17.7884,593.3515,182.0397,411.3118,0.0000,0.0000,0.0000,18.7784,13.9071,22.1225,0.7079,18.2226,31.1223,0.7208,0.6470
end/limit-0.75,20000,30.0000,12.2117,17.7884,467.2795,142.6745,324.6050,0.0000,0.0000,0.0000,14.5760,10.6835,17.2482,0.4425,18.2226,26.2853,0.7660,0.6440
end/limit-0.5,20000,30.0000,12.2117,17.7884,341.5234,107.6075,233.9159,0.0000,0.0000,0.0000,10.3841,7.8119,12.1499,0.2371,18.2226,22.5430,0.8213,0.6610
