dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,load,load sent,load recv,delay,time base,time defended,rf,df
/home/tobipull/regulator-u3.95-c1.77-r277-d0.94-t3.55-n3550-b50,19000,4188.8085,347.9627,3840.8458,6896.6212,1471.1322,5425.4890,0.0000,0.0000,0.0000,0.6464,3.2278,0.4126,5.8666,28.0652,192.7122,0.4411,0.2561
/home/tobipull/regulator-u3.95-c1.77-r277-d0.94-t3.55-n3550-b10,19000,4188.8085,347.9627,3840.8458,6903.5733,1483.9365,5419.6367,0.0000,0.0000,0.0000,0.6481,3.2646,0.4111,5.3979,28.0652,179.5598,0.4379,0.2679
/home/tobipull/regulator-u3.95-c1.77-r277-d0.94-t3.55-n3550-b100,19000,4188.8085,347.9627,3840.8458,6893.5501,1476.8937,5416.6564,0.0000,0.0000,0.0000,0.6457,3.2444,0.4103,6.5927,28.0652,213.0920,0.4224,0.2758
/home/tobipull/regulator-u3.95-c1.77-r277-d0.94-t3.55-n3550-b1000,19000,4188.8085,347.9627,3840.8458,6829.6374,1504.2773,5325.3601,0.0000,0.0000,0.0000,0.6304,3.3231,0.3865,17.9970,28.0652,533.1560,0.3268,0.2255
