dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
/mnt/ramdisk/front-budget2000-wmin10-wmax20-states1,19000,4188.8085,347.9627,3840.8458,5199.1242,853.7927,4345.3314,0.0000,0.0000,0.0000,0.2412,1.4537,0.1313,0.0000,28.0652,28.0652,0.9055,0.8005
/mnt/ramdisk/front-budget2000-wmin10-wmax20-states10,19000,4188.8085,347.9627,3840.8458,5202.4707,854.9007,4347.5701,0.0000,0.0000,0.0000,0.2420,1.4569,0.1319,0.0000,28.0652,28.0652,0.9021,0.8329
/mnt/ramdisk/front-budget2000-wmin10-wmax20-states100,19000,4188.8085,347.9627,3840.8458,5293.1924,898.9720,4394.2204,0.0000,0.0000,0.0000,0.2637,1.5835,0.1441,0.0000,28.0652,28.0652,0.9063,0.8313
/mnt/ramdisk/front-budget2500-wmin10-wmax20-states1,19000,4188.8085,347.9627,3840.8458,5457.6516,982.4247,4475.2269,0.0000,0.0000,0.0000,0.3029,1.8234,0.1652,0.0000,28.0652,28.0652,0.9068,0.7692
/mnt/ramdisk/front-budget2500-wmin10-wmax20-states10,19000,4188.8085,347.9627,3840.8458,5445.4074,977.5907,4467.8166,0.0000,0.0000,0.0000,0.3000,1.8095,0.1632,0.0000,28.0652,28.0652,0.8984,0.8113
/mnt/ramdisk/front-budget2500-wmin10-wmax20-states100,19000,4188.8085,347.9627,3840.8458,5533.8195,1019.9127,4513.9068,0.0000,0.0000,0.0000,0.3211,1.9311,0.1752,0.0000,28.0652,28.0652,0.9024,0.8145
/mnt/ramdisk/front-budget3000-wmin10-wmax20-states1,19000,4188.8085,347.9627,3840.8458,5709.9329,1107.9442,4601.9887,0.0000,0.0000,0.0000,0.3631,2.1841,0.1982,0.0000,28.0652,28.0652,0.9045,0.7663
/mnt/ramdisk/front-budget3000-wmin10-wmax20-states10,19000,4188.8085,347.9627,3840.8458,5701.7027,1103.1047,4598.5979,0.0000,0.0000,0.0000,0.3612,2.1702,0.1973,0.0000,28.0652,28.0652,0.9016,0.7939
/mnt/ramdisk/front-budget3000-wmin10-wmax20-states100,19000,4188.8085,347.9627,3840.8458,5788.7270,1146.2990,4642.4280,0.0000,0.0000,0.0000,0.3820,2.2943,0.2087,0.0000,28.0652,28.0652,0.9037,0.7858
/mnt/ramdisk/front-budget6000-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,7231.5398,1873.7068,5357.8330,0.0000,0.0000,0.0000,0.7264,4.3848,0.3950,0.0000,28.0652,28.0652,0.9058,0.6916
