dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
/mnt/ramdisk/front-budget3000-wmin10-wmax20-states10,19000,4188.8085,347.9627,3840.8458,5703.0112,1104.3514,4598.6598,0.0000,0.0000,0.0000,0.3615,2.1738,0.1973,6.7405,28.0652,217.2388,0.8392,0.7882
/mnt/ramdisk/front-budget3000-wmin10-wmax20-states100,19000,4188.8085,347.9627,3840.8458,5789.1379,1146.2509,4642.8870,0.0000,0.0000,0.0000,0.3820,2.2942,0.2088,7.2301,28.0652,230.9806,0.8334,0.7568
/mnt/ramdisk/front-budget6000-wmin1-wmax12-states1,19000,4188.8085,347.9627,3840.8458,7204.7653,1859.6157,5345.1495,0.0000,0.0000,0.0000,0.7200,4.3443,0.3917,55.7484,28.0652,1592.6570,0.7526,0.6511
/mnt/ramdisk/front-budget6000-wmin1-wmax12-states10,19000,4188.8085,347.9627,3840.8458,7190.1333,1844.5681,5345.5652,0.0000,0.0000,0.0000,0.7165,4.3011,0.3918,36.3522,28.0652,1048.2979,0.7434,0.7082
/mnt/ramdisk/front-budget6000-wmin1-wmax12-states100,19000,4188.8085,347.9627,3840.8458,7299.4051,1908.6552,5390.7498,0.0000,0.0000,0.0000,0.7426,4.4852,0.4035,37.9811,28.0652,1094.0141,0.7489,0.7508
/mnt/ramdisk/front-budget6000-wmin1-wmax15-states1,19000,4188.8085,347.9627,3840.8458,7181.3879,1842.6793,5338.7086,0.0000,0.0000,0.0000,0.7144,4.2956,0.3900,54.6020,28.0652,1560.4839,0.7418,0.6384
/mnt/ramdisk/front-budget6000-wmin1-wmax15-states10,19000,4188.8085,347.9627,3840.8458,7200.1529,1862.8997,5337.2532,0.0000,0.0000,0.0000,0.7189,4.3537,0.3896,39.5055,28.0652,1136.7954,0.7516,0.7018
/mnt/ramdisk/front-budget6000-wmin1-wmax15-states100,19000,4188.8085,347.9627,3840.8458,7285.8292,1899.7693,5386.0598,0.0000,0.0000,0.0000,0.7394,4.4597,0.4023,37.4572,28.0652,1079.3090,0.7447,0.6713
/mnt/ramdisk/front-budget6000-wmin1-wmax20-states1,19000,4188.8085,347.9627,3840.8458,7192.8637,1856.1335,5336.7302,0.0000,0.0000,0.0000,0.7172,4.3343,0.3895,56.3056,28.0652,1608.2952,0.7305,0.6308
/mnt/ramdisk/front-budget6000-wmin1-wmax20-states10,19000,4188.8085,347.9627,3840.8458,7195.5474,1851.4806,5344.0668,0.0000,0.0000,0.0000,0.7178,4.3209,0.3914,39.3316,28.0652,1131.9146,0.7555,0.7074
/mnt/ramdisk/front-budget6000-wmin1-wmax20-states100,19000,4188.8085,347.9627,3840.8458,7291.7305,1899.6945,5392.0360,0.0000,0.0000,0.0000,0.7408,4.4595,0.4039,37.5222,28.0652,1081.1345,0.7555,0.7063
/mnt/ramdisk/front-budget6000-wmin5-wmax12-states1,19000,4188.8085,347.9627,3840.8458,7186.6035,1847.5406,5339.0629,0.0000,0.0000,0.0000,0.7157,4.3096,0.3901,55.1027,28.0652,1574.5361,0.7347,0.6466
/mnt/ramdisk/front-budget6000-wmin5-wmax12-states10,19000,4188.8085,347.9627,3840.8458,7211.8235,1853.8563,5357.9672,0.0000,0.0000,0.0000,0.7217,4.3277,0.3950,39.9798,28.0652,1150.1085,0.7547,0.6905
/mnt/ramdisk/front-budget6000-wmin5-wmax12-states100,19000,4188.8085,347.9627,3840.8458,7288.5057,1905.3968,5383.1089,0.0000,0.0000,0.0000,0.7400,4.4759,0.4015,38.2315,28.0652,1101.0412,0.7579,0.7189
