dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
tamaraw-pc0.025-ps0.0060-w1000000.0,19000,4188.8085,347.9627,3840.8458,7788.9117,1515.1499,6273.7618,0.0000,0.0000,0.0000,0.8595,3.3543,0.6334,0.7403,28.0652,48.8431,0.4758,0.4626
tamaraw-pc0.025-ps0.0060-w1500000.0,19000,4188.8085,347.9627,3840.8458,7942.7844,1463.3575,6479.4268,0.0000,0.0000,0.0000,0.8962,3.2055,0.6870,0.8693,28.0652,52.4614,0.4229,0.4168
tamaraw-pc0.025-ps0.0060-w2000000.0,19000,4188.8085,347.9627,3840.8458,8135.2554,1467.1466,6668.1088,0.0000,0.0000,0.0000,0.9421,3.2164,0.7361,0.9730,28.0652,55.3725,0.3739,0.3987
tamaraw-pc0.025-ps0.0060-w2500000.0,19000,4188.8085,347.9627,3840.8458,8324.9711,1489.4070,6835.5641,0.0000,0.0000,0.0000,0.9874,3.2804,0.7797,1.0638,28.0652,57.9212,0.3516,0.3789
tamaraw-pc0.025-ps0.0065-w1000000.0,19000,4188.8085,347.9627,3840.8458,7613.2143,1529.1787,6084.0356,0.0000,0.0000,0.0000,0.8175,3.3947,0.5840,0.7687,28.0652,49.6379,0.4671,0.4513
tamaraw-pc0.025-ps0.0065-w1500000.0,19000,4188.8085,347.9627,3840.8458,7736.8816,1475.7285,6261.1532,0.0000,0.0000,0.0000,0.8470,3.2411,0.6301,0.9037,28.0652,53.4274,0.4150,0.4339
tamaraw-pc0.025-ps0.0065-w2000000.0,19000,4188.8085,347.9627,3840.8458,7912.6191,1481.6461,6430.9729,0.0000,0.0000,0.0000,0.8890,3.2581,0.6744,1.0123,28.0652,56.4767,0.3603,0.3971
tamaraw-pc0.025-ps0.0065-w2500000.0,19000,4188.8085,347.9627,3840.8458,8082.9488,1503.3248,6579.6240,0.0000,0.0000,0.0000,0.9297,3.3204,0.7131,1.1087,28.0652,59.1801,0.3455,0.3811
tamaraw-pc0.030-ps0.0045-w1000000.0,19000,4188.8085,347.9627,3840.8458,8552.5704,1364.3503,7188.2202,0.0000,0.0000,0.0000,1.0418,2.9210,0.8715,0.6958,28.0652,47.5929,0.4700,0.4492
tamaraw-pc0.030-ps0.0045-w1500000.0,19000,4188.8085,347.9627,3840.8458,8823.2916,1292.5856,7530.7060,0.0000,0.0000,0.0000,1.1064,2.7147,0.9607,0.8051,28.0652,50.6616,0.4255,0.4039
tamaraw-pc0.030-ps0.0045-w2000000.0,19000,4188.8085,347.9627,3840.8458,9100.8181,1278.8906,7821.9275,0.0000,0.0000,0.0000,1.1727,2.6754,1.0365,0.8947,28.0652,53.1749,0.3776,0.3745
tamaraw-pc0.030-ps0.0045-w2500000.0,19000,4188.8085,347.9627,3840.8458,9356.4855,1285.3405,8071.1449,0.0000,0.0000,0.0000,1.2337,2.6939,1.1014,0.9672,28.0652,55.2088,0.3700,0.3542
tamaraw-pc0.030-ps0.0050-w1000000.0,19000,4188.8085,347.9627,3840.8458,8169.8854,1368.3056,6801.5798,0.0000,0.0000,0.0000,0.9504,2.9323,0.7709,0.7236,28.0652,48.3730,0.4666,0.4511
tamaraw-pc0.030-ps0.0050-w1500000.0,19000,4188.8085,347.9627,3840.8458,8393.5203,1299.6283,7093.8920,0.0000,0.0000,0.0000,1.0038,2.7350,0.8470,0.8393,28.0652,51.6203,0.4205,0.3942
tamaraw-pc0.030-ps0.0050-w2000000.0,19000,4188.8085,347.9627,3840.8458,8634.9937,1286.9613,7348.0324,0.0000,0.0000,0.0000,1.0614,2.6986,0.9131,0.9312,28.0652,54.2010,0.3953,0.3866
tamaraw-pc0.030-ps0.0050-w2500000.0,19000,4188.8085,347.9627,3840.8458,8859.0894,1295.0097,7564.0797,0.0000,0.0000,0.0000,1.1149,2.7217,0.9694,1.0135,28.0652,56.5101,0.3771,0.3587
tamaraw-pc0.030-ps0.0055-w1000000.0,19000,4188.8085,347.9627,3840.8458,7941.6283,1392.9327,6548.6956,0.0000,0.0000,0.0000,0.8959,3.0031,0.7050,0.7555,28.0652,49.2687,0.4695,0.4511
tamaraw-pc0.030-ps0.0055-w1500000.0,19000,4188.8085,347.9627,3840.8458,8121.9195,1320.5356,6801.3839,0.0000,0.0000,0.0000,0.9390,2.7950,0.7708,0.8810,28.0652,52.7902,0.4216,0.4203
tamaraw-pc0.030-ps0.0055-w2000000.0,19000,4188.8085,347.9627,3840.8458,8335.2666,1308.2216,7027.0450,0.0000,0.0000,0.0000,0.9899,2.7597,0.8296,0.9810,28.0652,55.5961,0.3792,0.3787
tamaraw-pc0.030-ps0.0055-w2500000.0,19000,4188.8085,347.9627,3840.8458,8539.4477,1316.5614,7222.8863,0.0000,0.0000,0.0000,1.0386,2.7836,0.8805,1.0661,28.0652,57.9854,0.3579,0.3639
tamaraw-pc0.030-ps0.0060-w1000000.0,19000,4188.8085,347.9627,3840.8458,7703.7036,1401.1382,6302.5654,0.0000,0.0000,0.0000,0.8391,3.0267,0.6409,0.7814,28.0652,49.9956,0.4618,0.4837
tamaraw-pc0.030-ps0.0060-w1500000.0,19000,4188.8085,347.9627,3840.8458,7849.1312,1329.1658,6519.9654,0.0000,0.0000,0.0000,0.8738,2.8199,0.6975,0.9144,28.0652,53.7268,0.4097,0.4313
tamaraw-pc0.030-ps0.0060-w2000000.0,19000,4188.8085,347.9627,3840.8458,8037.0498,1317.6568,6719.3929,0.0000,0.0000,0.0000,0.9187,2.7868,0.7495,1.0197,28.0652,56.6830,0.3842,0.4129
tamaraw-pc0.030-ps0.0060-w2500000.0,19000,4188.8085,347.9627,3840.8458,8219.9992,1326.9379,6893.0613,0.0000,0.0000,0.0000,0.9624,2.8134,0.7947,1.1137,28.0652,59.3203,0.3618,0.3882
tamaraw-pc0.030-ps0.0065-w1000000.0,19000,4188.8085,347.9627,3840.8458,7534.0293,1415.5068,6118.5225,0.0000,0.0000,0.0000,0.7986,3.0680,0.5930,0.8068,28.0652,50.7070,0.4666,0.4824
tamaraw-pc0.030-ps0.0065-w1500000.0,19000,4188.8085,347.9627,3840.8458,7649.4962,1342.4519,6307.0443,0.0000,0.0000,0.0000,0.8262,2.8580,0.6421,0.9448,28.0652,54.5824,0.4132,0.4318
tamaraw-pc0.030-ps0.0065-w2000000.0,19000,4188.8085,347.9627,3840.8458,7816.4387,1331.4545,6484.9842,0.0000,0.0000,0.0000,0.8660,2.8264,0.6884,1.0597,28.0652,57.8067,0.3761,0.4018
tamaraw-pc0.030-ps0.0065-w2500000.0,19000,4188.8085,347.9627,3840.8458,7983.7999,1341.4277,6642.3722,0.0000,0.0000,0.0000,0.9060,2.8551,0.7294,1.1558,28.0652,60.5027,0.3489,0.3855
