dataset,dataset_length,base,base sent,base recv,defended,defended sent,defended recv,missing,missing sent,missing recv,bandwidth,bandwidth sent,bandwidth recv,delay,time base,time defended,rf,df
tamaraw-pc0.025-ps0.0055-w1000000.0,19000,4188.8085,347.9627,3840.8458,8112.3103,1589.6101,6522.7002,0.0000,0.0001,0.0000,0.9367,3.5683,0.6982,1.4497,28.0295,68.6624,0.3779,0.4558
tamaraw-pc0.025-ps0.0055-w1500000.0,19000,4188.8085,347.9627,3840.8458,8341.1264,1570.6993,6770.4271,0.0000,0.0001,0.0000,0.9913,3.5140,0.7627,1.7719,28.0295,77.6961,0.2692,0.3950
tamaraw-pc0.025-ps0.0055-w2000000.0,19000,4188.8085,347.9627,3840.8458,8600.4599,1607.6844,6992.7756,0.0000,0.0001,0.0000,1.0532,3.6203,0.8206,2.0783,28.0295,86.2817,0.1974,0.3861
tamaraw-pc0.025-ps0.0055-w2500000.0,19000,4188.8085,347.9627,3840.8458,8850.3404,1662.3183,7188.0221,0.0000,0.0001,0.0000,1.1129,3.7773,0.8715,2.3789,28.0295,94.7077,0.2053,0.3674
tamaraw-pc0.025-ps0.0060-w1000000.0,19000,4188.8085,347.9627,3840.8458,7864.6058,1583.0509,6281.5548,0.0000,0.0001,0.0000,0.8775,3.5495,0.6355,1.3011,28.0350,64.5113,0.4153,0.4642
tamaraw-pc0.025-ps0.0060-w1500000.0,19000,4188.8085,347.9627,3840.8458,8047.6626,1555.6935,6491.9692,0.0000,0.0001,0.0000,0.9212,3.4709,0.6902,1.5620,28.0350,71.8269,0.3571,0.4321
tamaraw-pc0.025-ps0.0060-w2000000.0,19000,4188.8085,347.9627,3840.8458,8269.8089,1584.0585,6685.7504,0.0000,0.0001,0.0000,0.9743,3.5524,0.7407,1.8074,28.0350,78.7063,0.2334,0.3887
tamaraw-pc0.025-ps0.0060-w2500000.0,19000,4188.8085,347.9627,3840.8458,8490.9262,1631.3885,6859.5376,0.0000,0.0001,0.0000,1.0271,3.6884,0.7859,2.0467,28.0350,85.4132,0.2074,0.3874
tamaraw-pc0.025-ps0.0065-w1000000.0,19000,4188.8085,347.9627,3840.8458,7672.6859,1582.7980,6089.8879,0.0000,0.0001,0.0000,0.8317,3.5488,0.5856,1.2138,28.0357,62.0658,0.3263,0.4355
tamaraw-pc0.025-ps0.0065-w1500000.0,19000,4188.8085,347.9627,3840.8458,7816.4217,1546.4181,6270.0037,0.0000,0.0001,0.0000,0.8660,3.4442,0.6325,1.4341,28.0357,68.2420,0.3103,0.4192
tamaraw-pc0.025-ps0.0065-w2000000.0,19000,4188.8085,347.9627,3840.8458,8013.0366,1569.5659,6443.4707,0.0000,0.0001,0.0000,0.9130,3.5107,0.6776,1.6394,28.0357,73.9984,0.3171,0.3929
tamaraw-pc0.025-ps0.0065-w2500000.0,19000,4188.8085,347.9627,3840.8458,8205.6587,1609.0232,6596.6355,0.0000,0.0001,0.0000,0.9589,3.6241,0.7175,1.8373,28.0357,79.5465,0.2108,0.3911
tamaraw-pc0.030-ps0.0045-w1000000.0,19000,4188.8085,347.9627,3840.8458,8691.9057,1482.4780,7209.4277,0.0001,0.0001,0.0000,1.0750,3.2605,0.8770,2.0364,28.0131,85.0575,0.3663,0.4489
tamaraw-pc0.030-ps0.0045-w1500000.0,19000,4188.8085,347.9627,3840.8458,9036.0863,1468.4232,7567.6631,0.0001,0.0001,0.0000,1.1572,3.2201,0.9703,2.6263,28.0131,101.5837,0.3655,0.3966
tamaraw-pc0.030-ps0.0045-w2000000.0,19000,4188.8085,347.9627,3840.8458,9387.5047,1511.8953,7875.6094,0.0001,0.0001,0.0000,1.2411,3.3450,1.0505,3.2038,28.0131,117.7610,0.2934,0.3755
tamaraw-pc0.030-ps0.0045-w2500000.0,19000,4188.8085,347.9627,3840.8458,9718.4075,1575.4460,8142.9615,0.0001,0.0001,0.0000,1.3201,3.5276,1.1201,3.7732,28.0131,133.7108,0.2526,0.3524
tamaraw-pc0.030-ps0.0050-w1000000.0,19000,4188.8085,347.9627,3840.8458,8277.1463,1460.0544,6817.0919,0.0000,0.0001,0.0000,0.9760,3.1960,0.7749,1.7132,28.0266,76.0407,0.4042,0.4447
tamaraw-pc0.030-ps0.0050-w1500000.0,19000,4188.8085,347.9627,3840.8458,8551.5113,1431.6397,7119.8716,0.0000,0.0001,0.0000,1.0415,3.1143,0.8537,2.1474,28.0266,88.2111,0.3537,0.3987
tamaraw-pc0.030-ps0.0050-w2000000.0,19000,4188.8085,347.9627,3840.8458,8844.0564,1458.7343,7385.3221,0.0000,0.0001,0.0000,1.1114,3.1922,0.9228,2.5616,28.0266,99.8200,0.3332,0.3789
tamaraw-pc0.030-ps0.0050-w2500000.0,19000,4188.8085,347.9627,3840.8458,9120.4123,1506.7940,7613.6183,0.0000,0.0001,0.0000,1.1773,3.3303,0.9823,2.9784,28.0266,111.5007,0.2797,0.3668
tamaraw-pc0.030-ps0.0055-w1000000.0,19000,4188.8085,347.9627,3840.8458,8023.5454,1463.9489,6559.5965,0.0000,0.0001,0.0000,0.9155,3.2072,0.7079,1.4885,28.0295,69.7500,0.4000,0.4429
tamaraw-pc0.030-ps0.0055-w1500000.0,19000,4188.8085,347.9627,3840.8458,8238.9626,1419.3300,6819.6326,0.0000,0.0001,0.0000,0.9669,3.0790,0.7756,1.8170,28.0295,78.9590,0.3661,0.4111
tamaraw-pc0.030-ps0.0055-w2000000.0,19000,4188.8085,347.9627,3840.8458,8488.4506,1435.0641,7053.3865,0.0000,0.0001,0.0000,1.0265,3.1242,0.8364,2.1278,28.0295,87.6694,0.2711,0.3926
tamaraw-pc0.030-ps0.0055-w2500000.0,19000,4188.8085,347.9627,3840.8458,8729.5895,1471.6094,7257.9801,0.0000,0.0001,0.0000,1.0840,3.2292,0.8897,2.4342,28.0295,96.2595,0.2558,0.3708
tamaraw-pc0.030-ps0.0060-w1000000.0,19000,4188.8085,347.9627,3840.8458,7768.5961,1458.1942,6310.4019,0.0000,0.0001,0.0000,0.8546,3.1907,0.6430,1.3391,28.0350,65.5767,0.3455,0.4766
tamaraw-pc0.030-ps0.0060-w1500000.0,19000,4188.8085,347.9627,3840.8458,7939.3024,1406.7970,6532.5054,0.0000,0.0001,0.0000,0.8954,3.0430,0.7008,1.6046,28.0350,73.0193,0.3624,0.4326
tamaraw-pc0.030-ps0.0060-w2000000.0,19000,4188.8085,347.9627,3840.8458,8152.9456,1415.8879,6737.0577,0.0000,0.0001,0.0000,0.9464,3.0691,0.7541,1.8508,28.0350,79.9230,0.2361,0.4063
tamaraw-pc0.030-ps0.0060-w2500000.0,19000,4188.8085,347.9627,3840.8458,8362.9174,1446.0169,6916.9005,0.0000,0.0001,0.0000,0.9965,3.1557,0.8009,2.0932,28.0350,86.7180,0.1879,0.3897
tamaraw-pc0.030-ps0.0065-w1000000.0,19000,4188.8085,347.9627,3840.8458,7584.9504,1460.5997,6124.3507,0.0000,0.0001,0.0000,0.8108,3.1976,0.5945,1.2469,28.0357,62.9938,0.3887,0.4737
tamaraw-pc0.030-ps0.0065-w1500000.0,19000,4188.8085,347.9627,3840.8458,7717.7760,1401.8421,6315.9339,0.0000,0.0001,0.0000,0.8425,3.0287,0.6444,1.4713,28.0357,69.2832,0.3474,0.4253
tamaraw-pc0.030-ps0.0065-w2000000.0,19000,4188.8085,347.9627,3840.8458,7902.8032,1405.2908,6497.5124,0.0000,0.0001,0.0000,0.8866,3.0386,0.6917,1.6825,28.0357,75.2068,0.2947,0.4066
tamaraw-pc0.030-ps0.0065-w2500000.0,19000,4188.8085,347.9627,3840.8458,8089.5518,1430.1871,6659.3648,0.0000,0.0001,0.0000,0.9312,3.1102,0.7338,1.8805,28.0357,80.7565,0.2918,0.3868
